instancia0, 18.0, 0.02
instancia1, 30.0, 0.021
instancia2, 31.0, 0.064
instancia3, 37.0, 0.027
instancia4, 31.0, 0.03
instancia5, 92.0, 0.05
instancia6, 77.0, 0.034
instancia7, 85.0, 0.041
instancia8, 198.0, 0.045
instancia9, 154.0, 0.128
instancia10, 140.0, 0.088
instancia11, 227.0, 0.036
instancia12, 257.0, 0.058
instancia13, 170.0, 0.088
instancia14, 429.0, 0.039
instancia15, 299.0, 0.097
instancia16, 145.00000000000006, 0.241
instancia17, 570.0000000000001, 0.083
instancia18, 364.0, 0.179
instancia19, 271.0, 0.269
instancia20, 589.0, 0.238
instancia21, 402.0, 0.221
instancia22, 345.0, 0.205
instancia23, 1048.0, 0.393
instancia24, 789.9999999999998, 0.296
instancia25, 614.0, 0.529
instancia26, 1610.0, 0.62
instancia27, 964.0, 2.796
instancia28, 903.9999999999999, 1.168
instancia29, 1569.0, 17.85
instancia0, 18.0, 0.094
instancia1, 30.0, 0.028
instancia2, 31.0, 0.021
instancia3, 37.0, 0.021
instancia4, 31.0, 0.023
instancia5, 92.0, 0.029
instancia6, 77.0, 0.031
instancia7, 85.0, 0.045
instancia8, 198.0, 0.04
instancia9, 154.0, 0.034
instancia10, 140.0, 0.129
instancia11, 227.0, 0.026
instancia12, 257.0, 0.065
instancia13, 170.0, 0.09
instancia14, 429.0, 0.041
instancia15, 299.0, 0.085
instancia16, 145.00000000000006, 0.321
instancia17, 570.0000000000001, 0.077
instancia18, 364.0, 0.157
instancia19, 271.0, 0.289
instancia20, 589.0, 0.28
instancia21, 402.0, 0.285
instancia22, 345.0, 0.211
instancia23, 1048.0, 0.36
instancia24, 789.9999999999998, 0.41
instancia25, 614.0, 0.503
instancia26, 1610.0, 0.929
instancia27, 964.0, 2.13
instancia28, 903.9999999999999, 0.873
instancia29, 1569.0, 10.87
instancia30, 3683.0000000000005, 110.8
